"DISTRICT_ID_61","election_year","STATE","seatnum","rd_INC_iv","rd_INC_seatprop","rd_INC_closeprop","rd_INC_seatnum","rd_INC_closenum","rd_INC_ivnum","rd_BJP_BJS_iv","rd_BJP_BJS_seatprop","rd_BJP_BJS_closeprop","rd_INC2_iv","rd_INC2_seatprop","rd_INC2_closeprop","rd_INC2_seatnum","rd_INC2_closenum","rd_INC2_ivnum","rd_INC3_iv","rd_INC3_seatprop","rd_INC3_closeprop","rd_INC3_seatnum","rd_INC3_closenum","rd_INC3_ivnum","COUNT","CASUALTIES","RIOTDAYS","COUNT_1yr","CASUALTIES_1yr","RIOTDAYS_1yr","COUNT.bin","COUNT.bin_1yr","muslim_prop","muslim_high","CM_INC","INC_dist_votes","BJP_BJS_dist_votes","total_votes","registered_voters","INC_voteshare","BJP_voteshare","Turnout","saturated","saturated2","saturated3","WEST_BENGALtrend","ANDHRA_PRADESHtrend","UTTAR_PRADESHtrend","GUJARATtrend","MAHARASHTRAtrend","RAJASTHANtrend","KERALAtrend","PUNJABtrend","MADHYA_PRADESHtrend","ORISSAtrend","KARNATAKAtrend","BIHARtrend","ASSAMtrend","HIMACHAL_PRADESHtrend","TAMIL_NADUtrend","HARYANAtrend","ARUNACHAL_PRADESHtrend","election_cycle","COUNT_1ec","CASUALTIES_1ec","RIOTDAYS_1ec","COUNT.bin_1ec","INC_voteshare_1ec","BJP_voteshare_1ec","Turnout_1ec","rd_INC_seatprop_1ec","rd_BJP_BJS_seatprop_1ec","log.COUNT","log.CASUALTIES","log.RIOTDAYS","ENP"
"178",1977,"BIHAR",26,0,0.0384615384615385,0,1,0,0,0,0,0,0,0.0384615384615385,0,1,0,0,0,0.0384615384615385,0,1,0,0,0,0,0,0,0,0,0,0,0.104545643993957,1,0,301218,0,1705643,2984561,0.176600847891382,0,0.57148873820974,"0:26","0:26","0:26",0,0,0,0,0,0,0,0,0,0,0,1977,0,0,0,0,0,"5",0,0,0,0,0.269900237269824,0.105958412822143,0.519080365936981,0.48,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,2.95904374571111
"178",1980,"BIHAR",26,0,0.461538461538462,0,12,0,0,0,0.0769230769230769,0,0,0.461538461538462,0,12,0,0,0,0.461538461538462,0,12,0,0,0,0,0,0,0,0,0,0,0.104545643993957,1,1,624965,232793,2162122,3368328.35928979,0.289051681634986,0.107668762447262,0.641897632704634,"0:26","0:26","0:26",0,0,0,0,0,0,0,0,0,0,0,1980,0,0,0,0,0,"6",0,0,0,0,0.176600847891382,0,0.57148873820974,0.0384615384615385,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,3.53099088289397
"178",1985,"BIHAR",26,0,0.730769230769231,0,19,0,0,0,0,0,0,0.730769230769231,0,19,0,0,0,0.730769230769231,0,19,0,0,1,1,1,0,0,0,1,0,0.104545643993957,1,1,1074421,188060,2427831,3747248.58641392,0.442543570783963,0.0774600868017584,0.64789696867253,"0:26","0:26","0:26",0,0,0,0,0,0,0,0,0,0,0,1985,0,0,0,0,0,"7",0,0,0,0,0.289051681634986,0.107668762447262,0.641897632704634,0.461538461538462,0.0769230769230769,0.00995033085316809,0.00995033085316809,0.00995033085316809,3.07528244133827
"178",1990,"BIHAR",26,0,0.384615384615385,0.0384615384615385,10,1,0,0,0.153846153846154,0,0,0.384615384615385,0,10,0,0,0,0.384615384615385,0.0384615384615385,10,1,0,2,10,5,1,1,1,1,1,0.103376495036268,1,0,895426,354692,3019080,4319702.0617128,0.296589027120845,0.117483471786107,0.69890931292676,"1:26","0:26","1:26",0,0,0,0,0,0,0,0,0,0,0,1990,0,0,0,0,0,"8",1,1,1,1,0.442543570783963,0.0774600868017584,0.64789696867253,0.730769230769231,0,0.698134722070984,2.30358459332713,1.61143591509677,3.6924701082929
"178",1995,"BIHAR",26,0,0.115384615384615,0,3,0,0,0,0.0769230769230769,0,0,0.115384615384615,0,3,0,0,0,0.115384615384615,0,3,0,0,0,0,0,0,0,0,0,0,0.103376495036268,1,0,555764,212083,2788958,4536229.65034213,0.199272990127496,0.0760438127788228,0.614818519999236,"0:26","0:26","0:26",0,0,0,0,0,0,0,0,0,0,0,1995,0,0,0,0,0,"9",2,10,5,1,0.296589027120845,0.117483471786107,0.69890931292676,0.384615384615385,0.153846153846154,-4.60517018598809,-4.60517018598809,-4.60517018598809,3.93239800866475
"178",2000,"BIHAR",26,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103376495036268,1,0,252451,211675,3137202,4835985,0.0804701131772834,0.0674725440057733,0.648720374442849,"0:26","0:26","0:26",0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,"10",0,0,0,0,0.199272990127496,0.0760438127788228,0.614818519999236,0.115384615384615,0.0769230769230769,-4.60517018598809,-4.60517018598809,-4.60517018598809,3.40502897478002
"180",1962,"UTTAR_PRADESH",8,0,0.5,0,4,0,0,0,0,0,0,0.5,0,4,0,0,0,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0.10076419174677,1,1,106194,0,338724,640018,0.313511885783115,0,0.529241365086607,"0:8","0:8","0:8",0,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.60517018598809,-4.60517018598809,-4.60517018598809,4.4177031261612
"180",1967,"UTTAR_PRADESH",8,0.125,0.625,0.125,5,1,1,0,0,0,0,0.625,0,5,0,0,0.125,0.625,0.125,5,1,1,0,0,0,0,0,0,0,0,0.10076419174677,1,0,115066,45620,407221,809157,0.282564013152563,0.112027621365303,0.503265744472334,"1:8","0:8","1:8",0,0,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",0,0,0,0,0.313511885783115,0,0.529241365086607,0.5,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,4.90459681397891
"180",1969,"UTTAR_PRADESH",8,0,0.875,0,7,0,0,0,0,0,0,0.875,0,7,0,0,0,0.875,0,7,0,0,0,0,0,0,0,0,0,0,0.10076419174677,1,1,152870,66271,474768,870396,0.321988845078017,0.139586071512823,0.545462065542581,"0:8","0:8","0:8",0,0,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",0,0,0,0,0.282564013152563,0.112027621365303,0.503265744472334,0.625,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,4.26543485047617
"180",1974,"UTTAR_PRADESH",8,0,0.25,0,2,0,0,0,0,0,0,0.25,0,2,0,0,0,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0.10076419174677,1,1,170900,52395,576332,976837,0.2965304720196,0.0909111414948328,0.589998126606588,"0:8","0:8","0:8",0,0,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4",0,0,0,0,0.321988845078017,0.139586071512823,0.545462065542581,0.875,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,4.03815712123658
